Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
6/26/2017,214.29,214.76,213.53,213.87,215.4128,212.7205,210.0282,1940386,2.5313,0.7135
6/23/2017,213.44,213.95,213.0644,213.74,215.3512,212.554,209.7569,1346820,2.6319,0.712
6/22/2017,214.08,214.29,213.66,213.73,215.2634,212.396,209.5286,2697075,2.7001,0.7326
6/21/2017,214.65,214.67,213.64,213.89,215.2072,212.2005,209.1938,2129397,2.8339,0.781
6/20/2017,214.89,215.07,214.37,214.4,215.1463,211.962,208.7777,1762126,3.0046,0.8828
6/19/2017,214.36,215.01,214.08,214.92,214.963,211.6745,208.386,2103348,3.1072,0.9935
6/16/2017,213.33,213.58,212.82,213.56,214.6705,211.317,207.9635,2371973,3.1739,0.8344
6/15/2017,212.89,213.8,212.75,213.69,214.6749,210.987,207.2991,2571814,3.4958,0.8665
6/14/2017,213.78,214,212.98,213.84,214.5882,210.626,206.6639,5423128,3.7623,0.9056
6/13/2017,212.8,213.39,212.75,213.37,214.1156,210.4315,206.7474,2426866,3.5015,0.8988
6/12/2017,212.46,212.78,211.88,212.4,213.6914,210.2595,206.8276,3682286,3.2644,0.8119
6/9/2017,212.15,213.07,211.59,212.67,213.4155,210.09,206.7645,4271113,3.1658,0.8879
6/8/2017,211.62,212.699,211.39,211.86,213.042,209.9205,206.799,2030336,2.974,0.8107
6/7/2017,211.69,211.92,211.14,211.72,212.7971,209.8015,206.8059,1545878,2.8556,0.8202
6/6/2017,211.33,211.78,211.17,211.37,212.5601,209.6965,206.8329,2095011,2.7311,0.7922
6/5/2017,211.86,212.205,211.64,211.86,212.386,209.624,206.862,1922998,2.6352,0.9048
6/2/2017,211.45,212.21,211.27,211.91,212.0865,209.5195,206.9525,2314011,2.4504,0.9656
6/1/2017,210.27,211.4,209.91,211.4,211.7061,209.3835,207.0609,1827924,2.2185,0.9341
5/31/2017,210.41,210.41,209.32,210,211.405,209.2745,207.144,1577523,2.036,0.6703
5/30/2017,210.21,210.52,209.97,210.21,211.3358,209.231,207.1262,1066624,2.0119,0.7326
5/26/2017,210.54,210.719,210.32,210.54,211.2259,209.1665,207.1071,1152162,1.9692,0.8335
5/25/2017,210.52,210.92,210.3,210.58,211.0541,209.0935,207.1329,2198248,1.8754,0.8791
5/24/2017,209.32,209.96,209.075,209.82,210.8959,209.0425,207.1891,3483187,1.7733,0.7097
5/23/2017,209.1,209.35,208.69,209.12,210.8552,209.025,207.1948,3457531,1.7512,0.526
5/22/2017,208.32,208.87,208.32,208.65,210.9052,209.053,207.2008,2246188,1.772,0.3912
5/19/2017,206.75,208.31,206.58,207.77,210.9749,208.9895,207.0041,4892838,1.9,0.1929
5/18/2017,206.03,207.96,205.855,206.96,211.3889,208.8635,206.3381,6653817,2.4182,0.1231
5/17/2017,208.12,208.59,206.37,206.47,211.5643,208.8005,206.0367,5717401,2.6473,0.0784
5/16/2017,210.32,210.46,209.46,209.95,212.0437,208.6695,205.2953,1746608,3.234,0.6897
5/15/2017,209.4,210.13,209.4,209.93,212.0862,208.426,204.7658,1818522,3.5122,0.7055
5/12/2017,208.97,209.28,208.82,209.01,211.9557,208.238,204.5203,1575490,3.5706,0.6038
5/11/2017,209.14,209.45,208.1,209.28,212.0654,208.006,203.9466,3093717,3.9032,0.6569
5/10/2017,209.19,209.81,208.9,209.48,211.9626,207.8255,203.6884,1394296,3.9813,0.7
5/9/2017,210.14,210.32,209.2231,209.62,211.7809,207.668,203.5551,1570111,3.961,0.7373
5/8/2017,209.7,210.02,209.53,209.92,211.5533,207.5065,203.4597,2311048,3.9004,0.7982
5/5/2017,209.07,209.78,208.76,209.77,211.2461,207.3295,203.4129,1673787,3.7781,0.8116
5/4/2017,209.65,209.65,208.198,209.19,210.9308,207.1635,203.3961,2640119,3.6371,0.769
5/3/2017,208.87,209.47,208.47,209.22,210.6843,207.017,203.3497,1829363,3.543,0.8004
5/2/2017,209.1,209.3,208.754,209.13,210.4154,206.8885,203.3616,1359664,3.4095,0.8178
5/1/2017,209.49,209.49,208.7,208.92,210.1258,206.7445,203.3632,1886009,3.271,0.8217
4/28/2017,209.63,209.63,208.97,209.08,209.8485,206.6155,203.3824,1934014,3.1295,0.8811
4/27/2017,209.73,209.77,209.06,209.56,209.5454,206.5095,203.4736,1951683,2.9402,1.0024
4/26/2017,209.81,210.43,209.44,209.47,209.041,206.347,203.653,2865327,2.6112,1.0796
4/25/2017,208.95,209.98,208.84,209.68,208.5057,206.211,203.9163,3483635,2.2256,1.2559
4/24/2017,207.33,207.63,207.03,207.38,207.6777,205.9885,204.2993,3220158,1.6401,0.9119
4/21/2017,205.51,205.7284,204.77,205.25,207.4725,205.907,204.3414,3034835,1.5206,0.2902
4/20/2017,204.35,206.21,204.17,205.7,207.5046,205.96,204.4154,3873706,1.4999,0.4158
4/19/2017,205.26,205.3,203.64,203.85,207.5472,205.9955,204.4438,3606413,1.5065,-0.1913
4/18/2017,205.36,205.81,204.42,205.08,207.3246,206.1205,204.9164,2497919,1.1683,0.0679
4/17/2017,204.93,206.26,204.86,206.17,207.9023,206.3072,204.712,2260907,1.5464,0.457
4/13/2017,205.34,205.94,204.36,204.37,208.3838,206.4417,204.4996,3605178,1.8815,-0.0334
4/12/2017,206.3,206.3,205.35,205.67,208.8057,206.6952,204.5847,2181729,2.0422,0.2571
